dataset,feature_set,method,k_per_class,seed,macro_f1,n_train,n_test
so2sat,pca8,RBF-SVM,5,10,0.114568122412334,85,1715
so2sat,pca8,RandomForest,5,10,0.1589311835327749,85,1715
so2sat,pca8,SG-BSCM,5,11,0.13582006351506618,85,1715
so2sat,pca8,BSCM-uniform,5,11,0.12785112300779627,85,1715
so2sat,pca8,SRQFM-fid,5,11,0.1298727123340573,85,1715
so2sat,pca8,RBF-SVM,5,11,0.14526834435635866,85,1715
so2sat,pca8,RandomForest,5,11,0.14715879873764143,85,1715
so2sat,pca8,SG-BSCM,5,12,0.10363873771871039,85,1715
so2sat,pca8,BSCM-uniform,5,12,0.10733085729904335,85,1715
so2sat,pca8,SRQFM-fid,5,12,0.1137538771296577,85,1715
so2sat,pca8,RBF-SVM,5,12,0.1269933999374357,85,1715
so2sat,pca8,RandomForest,5,12,0.14467001712727587,85,1715
so2sat,pca8,SG-BSCM,5,13,0.10172936070039171,85,1715
so2sat,pca8,BSCM-uniform,5,13,0.11906241340921898,85,1715
so2sat,pca8,SRQFM-fid,5,13,0.11671424076970874,85,1715
so2sat,pca8,RBF-SVM,5,13,0.1571478292820578,85,1715
so2sat,pca8,RandomForest,5,13,0.13999496816043777,85,1715
so2sat,pca8,SG-BSCM,5,14,0.1342097069820967,85,1715
so2sat,pca8,BSCM-uniform,5,14,0.14148966396683949,85,1715
so2sat,pca8,SRQFM-fid,5,14,0.13261391086450983,85,1715
so2sat,pca8,RBF-SVM,5,14,0.15721077961885688,85,1715
so2sat,pca8,RandomForest,5,14,0.1453391738811065,85,1715
so2sat,pca8,SG-BSCM,5,15,0.13095519534264555,85,1715
so2sat,pca8,BSCM-uniform,5,15,0.13041065452427247,85,1715
so2sat,pca8,SRQFM-fid,5,15,0.12463191592181404,85,1715
so2sat,pca8,RBF-SVM,5,15,0.13086174077495039,85,1715
so2sat,pca8,RandomForest,5,15,0.13360470655098688,85,1715
so2sat,pca8,SG-BSCM,5,16,0.12767284065207793,85,1715
so2sat,pca8,BSCM-uniform,5,16,0.1315584097328902,85,1715
so2sat,pca8,SRQFM-fid,5,16,0.13738010846681167,85,1715
so2sat,pca8,RBF-SVM,5,16,0.12845627654645894,85,1715
so2sat,pca8,RandomForest,5,16,0.1469317187268188,85,1715
so2sat,pca8,SG-BSCM,5,17,0.11237399428031057,85,1715
so2sat,pca8,BSCM-uniform,5,17,0.1297299756783583,85,1715
so2sat,pca8,SRQFM-fid,5,17,0.1305686136014838,85,1715
so2sat,pca8,RBF-SVM,5,17,0.10079613480127791,85,1715
so2sat,pca8,RandomForest,5,17,0.16239164648074353,85,1715
so2sat,pca8,SG-BSCM,5,18,0.1477301355625478,85,1715
so2sat,pca8,BSCM-uniform,5,18,0.1484273163558351,85,1715
so2sat,pca8,SRQFM-fid,5,18,0.14917840257959908,85,1715
